epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,801.832,1.06513,0.03124,0.03482,0.67572,0.92231,0.8901,0.76922,0.84395,0.55424,0.91643,0.79639,0.89418,0.89138,1.13897,0.0247,0.00541,0.77311,0.93758,0.0012377,0.0012377,0.0012377
79,811.93,1.07571,0.03271,0.03926,0.69656,0.92252,0.84242,0.78212,0.84757,0.55101,0.85934,0.82123,0.89372,0.89168,1.12589,0.02368,0.00534,0.74947,0.94014,0.0012278,0.0012278,0.0012278
80,822.186,1.0713,0.0337,0.03904,0.67489,0.92228,0.8496,0.77317,0.8448,0.54713,0.87939,0.80028,0.89444,0.89192,1.13852,0.02377,0.00493,0.77761,0.95076,0.0012179,0.0012179,0.0012179
81,832.307,1.05818,0.03375,0.03279,0.67814,0.9229,0.82708,0.79495,0.84922,0.55919,0.85638,0.82123,0.89992,0.89778,1.18949,0.02397,0.005,0.74611,0.95745,0.001208,0.001208,0.001208
82,842.509,1.06441,0.03087,0.03836,0.68197,0.91988,0.89241,0.75,0.8515,0.55492,0.88054,0.80299,0.89781,0.89432,1.12626,0.02392,0.0036,0.77074,0.94466,0.0011981,0.0011981,0.0011981
83,852.734,1.05272,0.03199,0.03834,0.67873,0.92123,0.85724,0.77996,0.84973,0.55779,0.8748,0.80994,0.89319,0.89057,1.12261,0.02348,0.00383,0.74064,0.94049,0.0011882,0.0011882,0.0011882
84,862.904,1.07709,0.03354,0.04015,0.68675,0.9149,0.84243,0.80168,0.84696,0.5561,0.87158,0.83412,0.90684,0.90424,1.14284,0.02446,0.0042,0.75012,0.94445,0.0011783,0.0011783,0.0011783
85,873.093,1.0416,0.03137,0.03524,0.66077,0.92342,0.8852,0.74022,0.83943,0.55487,0.89485,0.77933,0.88812,0.88598,1.13046,0.02627,0.00404,0.78967,0.93645,0.0011684,0.0011684,0.0011684
86,883.381,1.04584,0.0309,0.03883,0.66669,0.91749,0.85591,0.77155,0.84374,0.55357,0.87248,0.80587,0.89498,0.89268,1.13016,0.02555,0.0045,0.76306,0.94024,0.0011585,0.0011585,0.0011585
87,893.59,1.05607,0.03011,0.03478,0.66208,0.92045,0.85527,0.77654,0.85174,0.56104,0.89219,0.81006,0.90596,0.90315,1.13941,0.0228,0.00355,0.74201,0.94214,0.0011486,0.0011486,0.0011486
