epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1426.7,1.0517,0.02929,0.03434,0.67896,0.90773,0.86318,0.77793,0.84752,0.56641,0.89488,0.80847,0.90409,0.90253,1.15658,0.0236,0.00491,0.74673,0.94833,0.0010298,0.0010298,0.0010298
100,1438.76,1.03992,0.02736,0.03891,0.67888,0.91366,0.8603,0.7999,0.8612,0.57302,0.88425,0.82153,0.90194,0.9003,1.12047,0.0229,0.00362,0.73859,0.9331,0.0010199,0.0010199,0.0010199
101,1450.89,1.03042,0.02708,0.03885,0.66581,0.90295,0.86155,0.78221,0.8522,0.57066,0.89137,0.81145,0.90303,0.90156,1.14609,0.02408,0.00318,0.73845,0.93416,0.00101,0.00101,0.00101
102,1463.12,1.02975,0.02837,0.03647,0.66295,0.90256,0.86049,0.78352,0.85389,0.5681,0.87056,0.82402,0.9024,0.89956,1.13137,0.02333,0.00396,0.77521,0.93925,0.0010001,0.0010001,0.0010001
103,1475.24,1.01815,0.02682,0.03509,0.664,0.90636,0.85793,0.77654,0.85233,0.56704,0.87208,0.82542,0.9034,0.90144,1.15308,0.02317,0.00368,0.80435,0.94497,0.0009902,0.0009902,0.0009902
104,1487.33,1.02421,0.02916,0.03163,0.65924,0.90721,0.85735,0.78065,0.84352,0.56128,0.88141,0.81564,0.90054,0.89828,1.15474,0.02207,0.00347,0.79182,0.9476,0.0009803,0.0009803,0.0009803
105,1499.61,1.04118,0.0281,0.03199,0.66193,0.90517,0.8577,0.7919,0.85278,0.56454,0.88124,0.8338,0.90324,0.90047,1.14751,0.02223,0.00335,0.74739,0.94596,0.0009704,0.0009704,0.0009704
106,1511.63,1.04528,0.02964,0.03929,0.65907,0.9035,0.86023,0.79085,0.85741,0.57947,0.88158,0.82141,0.90221,0.90094,1.14098,0.02213,0.00459,0.73315,0.93476,0.0009605,0.0009605,0.0009605
107,1523.7,1.03453,0.02764,0.0325,0.65233,0.88942,0.82605,0.82123,0.85848,0.57144,0.85822,0.84544,0.90162,0.89948,1.14585,0.02272,0.00446,0.71586,0.94212,0.0009506,0.0009506,0.0009506
108,1535.77,1.01896,0.02788,0.03189,0.65516,0.90713,0.85474,0.78492,0.84842,0.56329,0.88972,0.81704,0.89907,0.89733,1.15233,0.024,0.00395,0.76144,0.94616,0.0009407,0.0009407,0.0009407
109,1548.35,1.03525,0.031,0.03885,0.66249,0.9044,0.87773,0.78911,0.85849,0.57343,0.89793,0.81285,0.89891,0.89713,1.14885,0.02386,0.00425,0.73438,0.94809,0.0009308,0.0009308,0.0009308
110,1560.49,1.01474,0.02631,0.03265,0.65677,0.90206,0.86464,0.78911,0.85529,0.56337,0.88391,0.81881,0.89904,0.89733,1.1695,0.02276,0.00733,0.7564,0.94905,0.0009209,0.0009209,0.0009209
111,1572.55,1.02583,0.02633,0.0286,0.65408,0.89695,0.85291,0.81425,0.86452,0.57194,0.88166,0.84078,0.91037,0.90904,1.12651,0.02375,0.00579,0.69747,0.94309,0.000911,0.000911,0.000911
112,1584.96,1.011,0.02684,0.03465,0.63897,0.90082,0.85533,0.79749,0.85143,0.56604,0.88798,0.82542,0.90055,0.89853,1.13138,0.02255,0.00544,0.7643,0.93836,0.0009011,0.0009011,0.0009011
113,1597.2,1.01209,0.0287,0.03738,0.64834,0.89997,0.86031,0.80855,0.86384,0.57983,0.88706,0.83369,0.90574,0.90454,1.12631,0.02203,0.00525,0.69657,0.93362,0.0008912,0.0008912,0.0008912
114,1609.42,1.02978,0.02826,0.03304,0.65432,0.90535,0.86909,0.78492,0.84988,0.56261,0.90228,0.81425,0.90626,0.90416,1.13975,0.02338,0.00436,0.7559,0.9375,0.0008813,0.0008813,0.0008813
